Country Name,Country Code,Year,Year Code,Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS],Prevalence of current tobacco use (% of adults) [SH.PRV.SMOK],"Prevalence of current tobacco use, females (% of female adults) [SH.PRV.SMOK.FE]","Prevalence of current tobacco use, males (% of male adults) [SH.PRV.SMOK.MA]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age) [SH.ALC.PCAP.FE.LI]","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age) [SH.ALC.PCAP.MA.LI]"
Bolivia,BOL,2018,YR2018,..,..,..,..,4.43,2.09,6.8
Bolivia,BOL,2019,YR2019,6.8,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,2017,YR2017,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,2018,YR2018,..,38.3,30.2,46.3,7.15,2.7,11.83
Bosnia and Herzegovina,BIH,2019,YR2019,9,..,..,..,..,..,..
Botswana,BWA,2017,YR2017,..,..,..,..,..,..,..
Botswana,BWA,2018,YR2018,..,23.7,10.1,37.3,6.59,2.51,10.85
Botswana,BWA,2019,YR2019,5.8,..,..,..,..,..,..
Brazil,BRA,2017,YR2017,..,..,..,..,..,..,..
Brazil,BRA,2018,YR2018,..,16.5,11.5,21.5,7.42,3.26,11.82
Brazil,BRA,2019,YR2019,10.4,..,..,..,..,..,..
British Virgin Islands,VGB,2017,YR2017,..,..,..,..,..,..,..
British Virgin Islands,VGB,2018,YR2018,..,..,..,..,..,..,..
British Virgin Islands,VGB,2019,YR2019,14.2,..,..,..,..,..,..
Brunei Darussalam,BRN,2017,YR2017,..,..,..,..,..,..,..
Brunei Darussalam,BRN,2018,YR2018,..,15.5,2.5,28.6,0.48,0.22,0.72
Brunei Darussalam,BRN,2019,YR2019,13.3,..,..,..,..,..,..
Bulgaria,BGR,2017,YR2017,..,..,..,..,..,..,..
Bulgaria,BGR,2018,YR2018,..,38.9,35.3,42.5,12.65,5.68,20.17
Bulgaria,BGR,2019,YR2019,6,..,..,..,..,..,..
Burkina Faso,BFA,2017,YR2017,..,..,..,..,..,..,..
Burkina Faso,BFA,2018,YR2018,..,16,7.2,24.9,12.03,4.2,20.17
Burkina Faso,BFA,2019,YR2019,7.3,..,..,..,..,..,..
Burundi,BDI,2017,YR2017,..,..,..,..,..,..,..
Burundi,BDI,2018,YR2018,..,12.6,6.4,18.8,7.19,2.79,11.86
Burundi,BDI,2019,YR2019,5.1,..,..,..,..,..,..
Cabo Verde,CPV,2017,YR2017,..,..,..,..,..,..,..
Cabo Verde,CPV,2018,YR2018,..,..,..,..,5.6,2.44,8.81
Cabo Verde,CPV,2019,YR2019,2.4,..,..,..,..,..,..
Cambodia,KHM,2017,YR2017,..,..,..,..,..,..,..
Cambodia,KHM,2018,YR2018,..,21.8,6.3,37.4,6.64,2.72,10.9
Cambodia,KHM,2019,YR2019,6.4,..,..,..,..,..,..
Cameroon,CMR,2017,YR2017,..,..,..,..,..,..,..
Cameroon,CMR,2018,YR2018,..,9.3,1.2,17.5,5.65,2.36,8.96
Cameroon,CMR,2019,YR2019,6,..,..,..,..,..,..
Canada,CAN,2017,YR2017,..,..,..,..,..,..,..
Canada,CAN,2018,YR2018,..,17.5,12.4,22.7,8.94,4.07,13.95
Canada,CAN,2019,YR2019,7.6,..,..,..,..,..,..
Caribbean small states,CSS,2017,YR2017,..,..,..,..,..,..,..
Caribbean small states,CSS,2018,YR2018,..,..,..,..,5.794512657,2.433923181,9.266783271
Caribbean small states,CSS,2019,YR2019,11.62934214,..,..,..,..,..,..
Cayman Islands,CYM,2017,YR2017,..,..,..,..,..,..,..
Cayman Islands,CYM,2018,YR2018,..,..,..,..,..,..,..
Cayman Islands,CYM,2019,YR2019,6.8,..,..,..,..,..,..
Central African Republic,CAF,2017,YR2017,..,..,..,..,..,..,..
Central African Republic,CAF,2018,YR2018,..,..,..,..,2.38,0.98,3.85
Central African Republic,CAF,2019,YR2019,6,..,..,..,..,..,..
Central Europe and the Baltics,CEB,2017,YR2017,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,2018,YR2018,..,28.78300494,23.2614779,34.24075195,11.93207958,5.641547817,18.81260174
Central Europe and the Baltics,CEB,2019,YR2019,6.295943662,..,..,..,..,..,..
Chad,TCD,2017,YR2017,..,..,..,..,..,..,..
Chad,TCD,2018,YR2018,..,11.8,2.3,21.3,1.37,0.5,2.25
Chad,TCD,2019,YR2019,6,..,..,..,..,..,..
Channel Islands,CHI,2017,YR2017,..,..,..,..,..,..,..
Channel Islands,CHI,2018,YR2018,..,..,..,..,..,..,..
Channel Islands,CHI,2019,YR2019,3.9,..,..,..,..,..,..
Chile,CHL,2017,YR2017,..,..,..,..,..,..,..
Chile,CHL,2018,YR2018,..,44.7,40.3,49.2,9.07,4.4,13.89
Chile,CHL,2019,YR2019,8.6,..,..,..,..,..,..
China,CHN,2017,YR2017,..,..,..,..,..,..,..
China,CHN,2018,YR2018,..,24.7,1.8,47.7,7.05,3.02,10.92
China,CHN,2019,YR2019,9.2,..,..,..,..,..,..
Colombia,COL,2017,YR2017,..,..,..,..,..,..,..
