Country Name,Country Code,Year,Year Code,ARI treatment (% of children under 5 taken to a health provider) [SH.STA.ARIC.ZS],Children with fever receiving antimalarial drugs (% of children under age 5 with fever) [SH.MLR.TRET.ZS],Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding) [SH.STA.ORCF.ZS],Diarrhea treatment (% of children under 5 who received ORS packet) [SH.STA.ORTH],"Incidence of malaria (per 1,000 population at risk) [SH.MLR.INCD.P3]","Incidence of tuberculosis (per 100,000 people) [SH.TBS.INCD]",Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women) [SH.MLR.IPTP.ZS],Malaria cases reported [SH.STA.MALR],"Tuberculosis case detection rate (%, all forms) [SH.TBS.DTEC.ZS]","Tuberculosis death rate (per 100,000 people) [SH.TBS.MORT]",Tuberculosis treatment success rate (% of new cases) [SH.TBS.CURE.ZS],Use of insecticide-treated bed nets (% of under-5 population) [SH.MLR.NETS.ZS],Female headed households (% of households with a female head) [SP.HOU.FEMA.ZS],"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","Labor force, female (% of total labor force) [SL.TLF.TOTL.FE.ZS]","Labor force, total [SL.TLF.TOTL.IN]","Literacy rate, adult female (% of females ages 15 and above) [SE.ADT.LITR.FE.ZS]","Literacy rate, adult male (% of males ages 15 and above) [SE.ADT.LITR.MA.ZS]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Literacy rate, youth male (% of males ages 15-24) [SE.ADT.1524.LT.MA.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]",Poverty headcount ratio at national poverty line (% of population) [SI.POV.NAHC],"Primary completion rate, female (% of relevant age group) [SE.PRM.CMPT.FE.ZS]","Primary completion rate, male (% of relevant age group) [SE.PRM.CMPT.MA.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","Public spending on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]",Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14 [SE.ENR.ORPH],Ratio of young literate females to males (% ages 15-24) [SE.ADT.1524.LT.FM.ZS],Rural poverty headcount ratio at national poverty lines (% of rural population) [SI.POV.RUHC],"School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, primary (% net) [SE.PRM.NENR]","School enrollment, primary, female (% gross) [SE.PRM.ENRR.FE]","School enrollment, primary, female (% net) [SE.PRM.NENR.FE]","School enrollment, primary, male (% gross) [SE.PRM.ENRR.MA]","School enrollment, primary, male (% net) [SE.PRM.NENR.MA]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, secondary (% net) [SE.SEC.NENR]","School enrollment, secondary, female (% gross) [SE.SEC.ENRR.FE]","School enrollment, secondary, female (% net) [SE.SEC.NENR.FE]","School enrollment, secondary, male (% gross) [SE.SEC.ENRR.MA]","School enrollment, secondary, male (% net) [SE.SEC.NENR.MA]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","School enrollment, tertiary, female (% gross) [SE.TER.ENRR.FE]",Share of women employed in the nonagricultural sector (% of total nonagricultural employment) [SL.EMP.INSV.FE.ZS],"Unemployment, female (% of female labor force) [SL.UEM.TOTL.FE.ZS]","Unemployment, male (% of male labor force) [SL.UEM.TOTL.MA.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]",Urban poverty headcount ratio at national poverty lines (% of urban population) [SI.POV.URHC]
Albania,ALB,2018,YR2018,82.4,..,52.5,34.5,..,18,..,..,87,0.29,89,..,17.3,4860,42.19068734,1400072,97.76112366,98.51361847,98.14115143,99.05000305,99.33000183,..,104.6567688,98.85868073,101.5378571,..,..,1.005820036,..,106.9934235,94.52966,109.1112289,..,105.1525803,..,95.43232727,86.60827,95.70465088,89.1819,95.19122314,84.32964,54.96133041,67.57861328,..,11.87,12.62,12.3,..
Albania,ALB,2019,YR2019,..,..,..,..,..,16,..,..,87,0.29,..,..,..,5220,43.04428204,1422089,..,..,..,..,..,..,104.5204315,102.2923965,103.3227463,3.945760012,..,..,..,104.8127365,..,106.4436111,..,103.3807678,..,95.08659363,..,95.65992737,..,94.58516693,..,59.7784996,73.3405304,..,11.31,11.58,11.47,..
Algeria,DZA,2017,YR2017,..,..,..,..,0,70,..,0,80,7.6,91,..,..,3940,20.3956245,12464041,..,..,..,..,..,..,105.7507019,105.5272522,105.6367111,6.505380154,..,..,..,111.7644806,97.5883,108.8974915,..,114.5165405,..,..,..,..,..,..,..,47.64683151,57.24470901,..,20.62,9.79,12,..
Algeria,DZA,2018,YR2018,..,..,..,..,0,69,..,0,80,7.6,85,..,..,3980,20.12698179,12589364,75.32296753,87.42295837,81.40783691,97.59406281,97.4265213,..,105.6250763,104.6819305,105.143959,5.866350174,..,0.996500015,..,109.8828201,97.63517,107.3022919,..,112.3595505,..,..,..,..,..,..,..,51.36566925,64.42080688,..,20.49,9.72,11.89,..
Algeria,DZA,2019,YR2019,..,..,..,..,..,61,..,..,80,6.6,..,..,..,4010,19.88242407,12716548,..,..,..,..,..,..,101.5825729,101.1553497,101.3646317,6.100359917,..,..,..,108.8458481,..,106.4689102,..,111.1267319,..,..,..,..,..,..,..,52.61994171,66.09423828,..,20.44,9.67,11.81,..
American Samoa,ASM,2017,YR2017,..,..,..,..,..,10,..,..,87,0.85,80,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,2018,YR2018,..,..,..,..,..,0,..,..,..,0,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,2019,YR2019,..,..,..,..,..,2.1,..,..,87,0.17,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,2017,YR2017,..,..,..,..,..,1.5,..,..,87,0.12,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.217089891,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,2018,YR2018,..,..,..,..,..,3,..,..,87,0.25,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.246720076,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,2019,YR2019,..,..,..,..,..,7.5,..,..,87,0.61,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.15060997,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,2017,YR2017,..,..,..,..,228.9089405,359,..,3874892,51,64,25,..,..,3450,50.15361679,12269167,..,..,..,..,..,..,..,..,..,2.466880083,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.41,6.78,7.1,..
Angola,AGO,2018,YR2018,..,..,..,..,228.9089503,355,..,5150575,61,60,50,..,..,3210,50.20290562,12705661,..,..,..,..,..,32.3,..,..,..,2.044699907,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.28,6.72,7,..
Angola,AGO,2019,YR2019,..,..,..,..,..,351,..,..,66,53,..,..,..,2970,50.27027561,13155275,..,..,..,..,..,..,..,..,..,1.821179986,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.22,6.63,6.93,..
Antigua and Barbuda,ATG,2017,YR2017,..,..,..,..,..,1.2,..,..,87,1.2,100,..,..,14320,..,..,..,..,..,..,..,..,96.62757111,99.71263885,98.18578339,2.448479891,..,..,..,103.6689606,94.19429,102.8264084,94.76904,104.4920731,93.6328,109.2086868,87.74032,107.7204819,86.64413,110.664093,88.81234,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,2018,YR2018,..,..,..,..,..,6,..,..,87,1.2,100,..,..,15880,..,..,..,..,..,..,..,..,98.96450043,93.49710846,96.19882965,2.644079924,..,..,..,105.0212708,95.69547,104.5989075,..,105.43367,..,111.1960373,88.78981,109.0700989,89.72818,113.2773132,87.87115,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,2019,YR2019,..,..,..,..,..,0,..,..,..,1.2,..,..,..,16160,..,..,..,..,..,..,..,..,..,..,..,2.822149992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,2017,YR2017,..,..,..,..,13.68022945,..,..,..,..,..,..,..,..,5910.802903,21.03507816,133079186,68.65435791,82.21642303,75.76682281,88.79432678,86.6084671,..,82.73297119,86.18650818,84.49780273,..,..,0.949299991,..,95.39557648,83.76548,92.61421204,81.75467,98.05461121,85.68783,71.27308655,63.06303,69.19780731,60.83393,73.25945282,65.21272,31.57180023,32.77830124,..,20.38842597,8.141571911,10.71829378,..
Arab World,ARB,2018,YR2018,..,..,..,..,13.70855325,..,..,..,..,..,..,..,..,6110.436813,20.36846067,134781005,65.53031921,79.59879303,72.86908722,85.16809082,82.83087158,..,83.67514801,87.06835938,85.40995789,..,..,0.94344002,..,95.84233856,84.05164,93.09007263,82.10073,98.47158051,85.91534,71.77615356,63.51428,70.00852203,61.33394,73.46794891,65.6165,32.93193054,34.65848923,..,19.90343268,7.7885134,10.25657943,..
Arab World,ARB,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,6328.473228,20.36308266,137660445,65.85761261,79.76159668,73.11425018,85.18924713,82.90794373,..,84.78611755,88.18823242,86.52622986,..,..,0.944840014,..,96.07525635,..,93.46617126,..,98.56600189,..,72.44197845,..,70.64235687,..,74.16452789,..,33.44832993,35.25220108,..,19.86978963,7.736826718,10.20722258,..
Argentina,ARG,2017,YR2017,..,..,..,..,0,27,..,0,87,1.4,57,..,..,13140,42.34359288,20034606,..,..,..,..,..,25.7,99.69320679,100.2227936,99.96276093,5.454319954,..,..,..,109.7414627,99.184,109.6277771,..,109.8510818,..,108.7335968,90.79605,111.0334625,93.0542,106.5118332,88.61459,89.95851898,112.798439,..,9.46,7.53,8.35,..
Argentina,ARG,2018,YR2018,..,..,..,..,0,27,..,0,87,1.3,54,..,..,12370,43.00185537,20551683,99.06204224,98.93773651,99.0038681,99.24182892,99.50552368,32,98.43654633,98.96637726,98.70625305,4.945519924,..,1.005169988,..,109.6591721,..,109.7159729,..,109.6044083,..,107.6472778,..,109.9492188,..,105.4238968,..,91.6006012,114.6464462,..,10.54,8.23,9.22,..
Argentina,ARG,2019,YR2019,..,..,..,..,..,29,..,..,87,1.3,..,..,..,11130,43.2696281,20877041,..,..,..,..,..,35.5,98.17658234,98.90470123,98.54724121,4.802370071,..,..,..,109.5162964,..,109.623558,..,109.4128876,..,108.2308426,..,110.4068527,..,106.1297226,..,95.44790649,120.2840424,..,10.7,9.19,9.84,..
Armenia,ARM,2017,YR2017,..,..,..,..,0,36,..,0,80,1.2,79,..,..,3950,46.1497465,1298421,99.67716217,99.80549622,99.73606873,99.82128143,99.84702301,..,92.53565979,91.51094055,91.98770905,2.707590103,..,1.000530005,..,94.08351898,91.94625,94.24420166,91.91511,93.94300842,91.97348,..,..,..,..,..,..,52.25152969,58.67676163,..,17.47,17.91,17.71,..
