Country Name,Country Code,Year,Year Code,ARI treatment (% of children under 5 taken to a health provider) [SH.STA.ARIC.ZS],Children with fever receiving antimalarial drugs (% of children under age 5 with fever) [SH.MLR.TRET.ZS],Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding) [SH.STA.ORCF.ZS],Diarrhea treatment (% of children under 5 who received ORS packet) [SH.STA.ORTH],"Incidence of malaria (per 1,000 population at risk) [SH.MLR.INCD.P3]","Incidence of tuberculosis (per 100,000 people) [SH.TBS.INCD]",Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women) [SH.MLR.IPTP.ZS],Malaria cases reported [SH.STA.MALR],"Tuberculosis case detection rate (%, all forms) [SH.TBS.DTEC.ZS]","Tuberculosis death rate (per 100,000 people) [SH.TBS.MORT]",Tuberculosis treatment success rate (% of new cases) [SH.TBS.CURE.ZS],Use of insecticide-treated bed nets (% of under-5 population) [SH.MLR.NETS.ZS],Female headed households (% of households with a female head) [SP.HOU.FEMA.ZS],"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","Labor force, female (% of total labor force) [SL.TLF.TOTL.FE.ZS]","Labor force, total [SL.TLF.TOTL.IN]","Literacy rate, adult female (% of females ages 15 and above) [SE.ADT.LITR.FE.ZS]","Literacy rate, adult male (% of males ages 15 and above) [SE.ADT.LITR.MA.ZS]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Literacy rate, youth male (% of males ages 15-24) [SE.ADT.1524.LT.MA.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]",Poverty headcount ratio at national poverty line (% of population) [SI.POV.NAHC],"Primary completion rate, female (% of relevant age group) [SE.PRM.CMPT.FE.ZS]","Primary completion rate, male (% of relevant age group) [SE.PRM.CMPT.MA.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","Public spending on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]",Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14 [SE.ENR.ORPH],Ratio of young literate females to males (% ages 15-24) [SE.ADT.1524.LT.FM.ZS],Rural poverty headcount ratio at national poverty lines (% of rural population) [SI.POV.RUHC],"School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, primary (% net) [SE.PRM.NENR]","School enrollment, primary, female (% gross) [SE.PRM.ENRR.FE]","School enrollment, primary, female (% net) [SE.PRM.NENR.FE]","School enrollment, primary, male (% gross) [SE.PRM.ENRR.MA]","School enrollment, primary, male (% net) [SE.PRM.NENR.MA]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, secondary (% net) [SE.SEC.NENR]","School enrollment, secondary, female (% gross) [SE.SEC.ENRR.FE]","School enrollment, secondary, female (% net) [SE.SEC.NENR.FE]","School enrollment, secondary, male (% gross) [SE.SEC.ENRR.MA]","School enrollment, secondary, male (% net) [SE.SEC.NENR.MA]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","School enrollment, tertiary, female (% gross) [SE.TER.ENRR.FE]",Share of women employed in the nonagricultural sector (% of total nonagricultural employment) [SL.EMP.INSV.FE.ZS],"Unemployment, female (% of female labor force) [SL.UEM.TOTL.FE.ZS]","Unemployment, male (% of male labor force) [SL.UEM.TOTL.MA.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]",Urban poverty headcount ratio at national poverty lines (% of urban population) [SI.POV.URHC]
Cote d'Ivoire,CIV,2017,YR2017,..,..,..,..,362.3648106,148,..,3475953,58,23,83,..,..,2030,40.54302018,7603548,..,..,..,..,..,..,64.68260956,78.49423218,71.59989929,3.80347991,..,..,..,98.3680191,85.57232,93.81539154,81.9408,102.891922,89.18092,48.44684982,37.99436,41.33050156,32.40814,55.58123016,43.59474,9.341369629,7.635499954,..,3.87,2.87,3.27,..
Cote d'Ivoire,CIV,2018,YR2018,..,..,..,..,330.5981605,142,..,4766477,59,22,84,..,..,2180,40.78084273,7822369,..,..,..,..,..,39.5,69.3493576,79.83106232,74.60257721,3.239939928,..,..,..,99.79975128,90.32837,95.97512054,86.60521,103.5959702,94.02388,51.02666092,40.19814,44.34893036,35.05883,57.71112061,45.34263,..,..,..,3.81,2.81,3.21,..
Cote d'Ivoire,CIV,2019,YR2019,..,..,..,..,..,137,..,..,60,21,..,..,..,2290,41.0169743,8047578,86.74124908,93.14134979,89.89341736,92.82019043,83.62647247,..,75.1386795,82.34056854,78.75084686,3.700400114,..,0.823239982,..,100.3153381,..,97.23085785,..,103.3742065,..,54.61299133,..,48.31087112,..,60.91135025,..,9.952599525,8.509320259,..,3.76,2.76,3.17,..
Croatia,HRV,2017,YR2017,..,..,..,..,..,10,..,..,87,1.4,66,..,..,12680,46.16621242,1821332,..,..,..,..,..,19.3,94.53117371,96.5120697,95.54715729,3.905669928,..,..,..,96.47103119,88.0407,96.53224182,..,96.41285706,..,99.40242004,92.39267,101.8235321,94.05053,97.10565948,90.81997,67.86556244,78.8371582,..,11.91,10.61,11.21,..
Croatia,HRV,2018,YR2018,..,..,..,..,..,10,..,..,87,1.1,29,..,..,14080,46.45368516,1794835,..,..,..,..,..,18.3,95.40106201,94.3216629,94.84780884,..,..,..,..,94.60305023,..,94.75321198,..,94.46041107,..,100.0797729,..,102.4584808,..,97.82417297,..,67.65422821,79.05442047,..,9.34,7.64,8.43,..
Croatia,HRV,2019,YR2019,..,..,..,..,..,8,..,..,90,0.96,..,..,..,14990,46.16084137,1788035,..,..,..,..,..,..,94.94664001,94.13665771,94.53153992,..,..,..,..,93.22310638,..,93.56049347,..,92.90329742,..,100.1194305,..,102.8497925,..,97.53114319,..,67.72174835,79.46011353,..,7.16,6.15,6.62,..
Cuba,CUB,2017,YR2017,..,..,..,..,..,7.2,..,..,87,0.32,82,..,..,..,38.98792577,5105337,..,..,..,..,..,..,90.33091736,88.76135254,89.52381897,..,..,..,..,100.4601517,95.57823,97.77471924,95.40883,102.997879,95.73831,101.3091736,84.18099,102.2445984,86.37745,100.423172,82.1006,39.91313934,50.50682068,..,1.64,1.74,1.7,..
Cuba,CUB,2018,YR2018,..,..,..,..,..,7.2,..,..,87,0.32,82,..,..,..,38.9621019,5103449,..,..,..,..,..,..,84.53137207,83.75354004,84.13140869,..,..,..,..,101.9045486,97.73994,99.58638763,97.5384,104.095787,97.93044,101.1372375,84.18162,101.9491577,86.70001,100.3693008,81.79969,41.37902069,51.0078392,..,1.82,1.62,1.7,..
Cuba,CUB,2019,YR2019,..,..,..,..,..,6.5,..,..,87,0.32,..,..,..,..,38.84769734,5092603,..,..,..,..,..,..,87.06481934,86.02886963,86.53215027,..,..,..,..,102.8671417,..,101.0402908,..,104.5944977,..,100.3396225,..,100.8895264,..,99.82002258,..,44.25410843,55.50774002,..,1.8,1.59,1.67,..
Curacao,CUW,2017,YR2017,..,..,..,..,..,6.4,..,..,87,0.53,..,..,..,19100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,2018,YR2018,..,..,..,..,..,6.4,..,..,..,0.53,..,..,..,20100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,2019,YR2019,..,..,..,..,..,7.2,..,..,..,0.59,..,..,..,20370,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,2017,YR2017,..,..,..,..,..,5.1,..,..,87,0.26,67,..,..,24710,46.19624091,611106,..,..,..,..,..,15.4,101.156868,101.3800888,101.2697296,5.754169941,..,..,..,99.3066864,97.49342,99.36173248,97.89554,99.25434875,97.11105,100.33255,95.337,99.53044891,95.3969,101.1078568,95.27911,75.94081116,82.35413361,..,11.27,10.87,11.05,..
Cyprus,CYP,2018,YR2018,..,..,..,..,..,4.9,..,..,87,0.26,59,..,..,26990,46.01673882,625731,..,..,..,..,..,14.7,101.8606796,101.8915482,101.8767014,..,..,..,..,99.79544067,..,99.34233856,..,100.2293091,..,100.2535172,..,98.96697235,..,101.5025711,..,81.33708191,84.49549866,..,8.76,8.04,8.37,..
Cyprus,CYP,2019,YR2019,..,..,..,..,..,5.3,..,..,100,0.26,..,..,..,27930,45.84621812,636733,..,..,..,..,..,..,102.1251984,102.9386292,102.5455017,..,..,..,..,100.4776993,..,100.1230011,..,100.8171082,..,100.8504333,..,99.23193359,..,102.4335022,..,88.48532867,91.09998322,..,8.01,6.28,7.07,..
Czech Republic,CZE,2017,YR2017,..,..,..,..,..,5.4,..,..,87,0.34,69,..,..,18310,44.52485589,5419903,..,..,..,..,..,9.6,97.50189972,98.16876984,97.84403992,3.806159973,..,..,..,100.67099,89.3503,100.9597092,..,100.39711,..,103.4915771,90.51857,103.870018,91.49009,103.132431,89.59659,64.07868958,75.2736969,..,3.58,2.34,2.89,..
Czech Republic,CZE,2018,YR2018,..,..,..,..,..,4.7,..,..,87,0.34,67,..,..,20560,44.70131083,5452943,..,..,..,..,..,10.1,98.78359222,98.30895233,98.54006195,4.26692009,..,..,..,100.5089874,..,100.8188629,..,100.2151184,..,102.2979279,..,102.5184402,..,102.088501,..,63.76876831,74.52980804,..,2.8,1.79,2.24,..
Czech Republic,CZE,2019,YR2019,..,..,..,..,..,4.9,..,..,87,0.34,..,..,..,22110,44.6783986,5441332,..,..,..,..,..,..,102.3679886,100.5549774,101.4376526,..,..,..,..,100.296669,..,100.5341797,..,100.0715179,..,101.3015518,..,101.8070526,..,100.8212585,..,65.58698273,76.57492828,..,2.38,1.72,2.01,..
Denmark,DNK,2017,YR2017,..,..,..,..,..,5.1,..,..,87,0.31,39,..,..,56690,47.27646833,2960274,..,..,..,..,..,12.7,102.89711,104.6207581,103.7763977,7.752439976,..,..,..,101.2680893,98.53748,100.9335403,..,101.5849991,..,129.0774841,90.92146,129.7961884,92.25643,128.3951569,89.6541,80.6160202,93.5774765,..,6.05,5.64,5.83,..
Denmark,DNK,2018,YR2018,..,..,..,..,..,5.4,..,..,87,0.31,16,..,..,61260,47.16399685,2982472,..,..,..,..,..,12.5,100.6042023,101.4494934,101.0366287,..,..,..,..,100.5239105,..,100.4665298,..,100.5781174,..,129.7455444,..,129.7060547,..,129.7832184,..,81.18334961,94.43289185,..,5.35,4.94,5.13,..
Denmark,DNK,2019,YR2019,..,..,..,..,..,5,..,..,89,0.31,..,..,..,63420,47.07847868,3023904,..,..,..,..,..,..,101.5987396,102.1805725,101.8970795,..,..,..,..,100.2676697,..,100.1832962,..,100.3473129,..,129.885025,..,129.3174438,..,130.428833,..,81.83975983,95.50930786,..,5.27,4.8,5.02,..
Djibouti,DJI,2017,YR2017,..,..,..,..,20.72178068,272,..,14671,80,29,85,..,..,2990,39.5865387,399070,..,..,..,..,..,21.1,66.35028839,60.26631165,62.97631836,3.748559952,..,..,..,69.59623718,59.96016,71.91819763,62.01595,67.69538879,58.27722,47.84857941,..,47.59563828,..,48.05698013,..,..,..,..,11.5,10.97,11.18,..
Djibouti,DJI,2018,YR2018,..,..,..,..,35.20855496,260,..,25319,80,28,84,..,..,3260,39.75265799,406886,..,..,..,..,..,..,69.90912628,63.55627823,66.38028717,3.627739906,..,..,..,70.29769135,61.80335,71.18781281,62.58727,69.5525589,61.14711,51.45777893,..,51.53134918,..,51.39744186,..,..,..,..,11.2,10.96,11.06,..
Djibouti,DJI,2019,YR2019,..,..,..,..,..,234,..,..,80,25,..,..,..,3310,39.88378376,414572,..,..,..,..,..,..,67.83109283,63.76467896,65.57845306,..,..,..,..,75.28794098,66.48037,75.11437988,66.478,75.43859863,66.48243,51.97055054,..,52.93421936,..,51.18391037,..,..,..,..,11.26,10.77,10.97,..
Dominica,DMA,2017,YR2017,..,..,..,..,..,1.6,..,..,87,4.1,100,..,..,7250,..,..,..,..,..,..,..,..,..,..,..,4.766749859,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,2018,YR2018,..,..,..,..,..,6.4,..,..,87,4.2,100,..,..,7680,..,..,..,..,..,..,..,..,..,..,..,5.571549892,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,2019,YR2019,..,..,..,..,..,16,..,..,87,4.2,..,..,..,7870,..,..,..,..,..,..,..,..,..,..,..,5.571609974,..,..,..,100.3757629,..,98.70346069,..,101.9916534,..,101.0598526,..,102.244812,..,99.91840363,..,..,..,..,..,..,..,..
Dominican Republic,DOM,2017,YR2017,..,..,..,..,0.060267689,46,..,283,80,2.8,74,..,..,7090,39.75602689,4838894,..,..,..,..,..,25.6,94.3535614,96.26985168,95.32808685,3.920269966,..,..,..,107.7998123,92.87434,103.9692535,92.70941,111.4936066,93.03338,79.73947144,70.27235,83.02941132,74.18809,76.52806091,66.45009,59.91558838,77.01242065,..,8.12,4.32,5.83,..
Dominican Republic,DOM,2018,YR2018,..,..,..,..,0.120266945,45,..,571,80,2.3,76,..,..,7780,39.93861727,5029428,..,..,..,..,..,22.8,92.58232117,93.65538025,93.1275177,3.928489923,..,..,..,105.6986465,92.71356,102.4711227,92.68957,108.8085403,92.73669,79.93869019,70.60614,82.98589325,74.54667,76.96617889,66.76219,..,..,..,9.1,3.71,5.86,..
Dominican Republic,DOM,2019,YR2019,..,..,..,..,..,42,..,..,80,1.8,..,..,..,8100,40.86491458,5199103,..,..,..,..,..,21,92.71904755,93.87033081,93.30409241,4.042769909,..,..,..,112.2282104,..,109.4302368,..,114.9201126,..,81.59329224,..,85.01241302,..,78.2564621,..,..,..,..,9.6,4.11,6.36,..
Early-demographic dividend,EAR,2017,YR2017,72.66260943,12.93678936,41.47367463,..,14.61283628,..,..,..,..,..,..,..,..,3311.247241,29.72856832,1261556957,73.20001984,84.6783905,79.01699829,92.57524872,91.33305359,..,92.98522186,91.42931366,92.17984009,4.357689857,..,0.972329974,..,108.1194992,90.26593,110.1033478,89.72967,106.2621536,90.768,73.93271637,63.76386,74.4651413,64.24908,73.43952179,63.31422,30.76374054,31.74271965,..,6.54922439,5.323146819,5.685302108,..
Early-demographic dividend,EAR,2018,YR2018,..,..,..,..,12.46901274,..,..,..,..,..,..,..,..,3455.277552,29.7692097,1280576021,73.60748291,84.96295929,79.35413361,92.77394867,91.68253326,..,92.41101074,91.45465088,91.91623688,3.979744911,..,0.975639999,..,102.4394989,90.30715,101.7968521,89.59618,103.0418777,90.97356,74.91462708,64.08017,75.59126282,64.31126,74.28752136,63.86612,31.34721947,32.64149857,..,6.441495308,5.295978419,5.635851425,..
Early-demographic dividend,EAR,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,3517.490947,29.91369655,1303998842,74.22817993,85.31536102,79.84098816,93.06809998,92.08379364,..,92.72589874,91.43691254,92.05967712,3.566455007,..,0.978079975,..,102.5560226,..,102.0546417,..,103.0262909,..,75.17063141,..,75.90709686,..,74.4875412,..,32.13119888,33.8625412,..,6.365901233,5.273673399,5.601946261,..
East Asia & Pacific,EAS,2017,YR2017,..,..,..,..,3.510273794,135,..,..,67,9.8,89,..,..,10236.84211,43.29788447,1259622641,93.72992706,97.18945313,95.47142792,98.64759827,98.64629364,..,96.00379944,96.03855133,96.02176666,4.085539818,..,0.999970019,..,101.9618607,..,101.8030701,..,102.1040726,..,84.41002655,78.7363,85.16790009,80.73113,83.72408295,76.92976,45.74924088,49.46371841,..,3.412234652,4.150790483,3.830102934,..
East Asia & Pacific,EAS,2018,YR2018,..,..,..,..,2.883252518,133,..,..,74,9.2,87,..,..,11086.95258,43.34246108,1266543438,93.96881866,97.2609787,95.62532043,98.63784027,98.65081024,..,98.22702026,98.03939056,98.12773132,3.434504986,..,1.000270009,..,102.1199417,..,102.0099869,..,102.2184372,..,85.29959869,78.90534,86.21964264,81.24246,84.46848297,76.79316,46.60903168,50.56798172,..,3.318380166,4.053393949,3.73533665,..
East Asia & Pacific,EAS,2019,YR2019,..,..,..,..,..,130,..,..,74,8.8,..,..,..,11700.47141,43.34550486,1270329788,94.17939758,97.34680176,95.7740097,98.66912842,98.68927765,..,98.52411652,98.22595978,98.36659241,..,..,1.000429988,..,103.1158981,..,103.0071487,..,103.2134628,..,86.78217316,..,87.6964035,..,85.95809174,..,48.4691391,52.69852066,..,3.43111966,4.185387794,3.858253984,..
East Asia & Pacific (excluding high income),EAP,2017,YR2017,..,..,..,..,3.521551754,146,..,..,67,11,89,..,..,7012.061004,43.25050172,1128062840,93.97885895,97.45079041,95.72928619,98.7751236,98.76677704,..,95.9134903,95.92153168,95.91773224,3.876494884,..,0.999819994,..,102.2097321,..,102.0364609,..,102.3642883,..,82.55519104,78.30426,83.41281891,80.38369,81.78125,76.42637,42.9749794,47.00009918,..,3.420167404,4.219467155,3.873144106,..
East Asia & Pacific (excluding high income),EAP,2018,YR2018,..,..,..,..,2.892328574,144,..,..,74,9.9,88,..,..,7682.653556,43.26441108,1133338707,94.2144165,97.51786041,95.87911987,98.7638092,98.76907349,..,98.24526978,97.99269867,98.11186981,3.133100033,..,1.00011003,..,102.35746,..,102.2388382,..,102.4633026,..,83.76573181,78.46543,84.75144196,80.90978,82.8780899,76.26289,43.92446136,48.21591949,..,3.347067447,4.134474438,3.794347278,..
East Asia & Pacific (excluding high income),EAP,2019,YR2019,..,..,..,..,..,141,..,..,74,9.4,..,..,..,8278.748654,43.23703417,1136038233,94.42616272,97.60212708,96.0267868,98.79319763,98.80506897,..,98.39237213,98.04387665,98.20844269,3.234369993,..,1.000249982,..,103.3983536,..,103.2814865,..,103.5027466,..,85.33712769,..,86.32411957,..,84.45043182,..,45.78636169,50.31800079,..,3.478382693,4.288130079,3.937943107,..
East Asia & Pacific (IDA & IBRD countries),TEA,2017,YR2017,..,..,..,..,3.550098858,..,..,..,..,..,..,..,..,7090.636189,43.19303891,1111732210,93.90190887,97.42080688,95.6769104,98.75878906,98.74996185,..,95.90213776,95.89749908,95.89965057,3.876494884,..,0.99980998,..,102.3319321,..,102.1625137,..,102.4829483,..,82.42240143,78.14456,83.2817688,80.24399,81.64752197,76.25016,43.18848038,47.39427948,..,3.438454857,4.234491177,3.89008305,..
East Asia & Pacific (IDA & IBRD countries),TEA,2018,YR2018,..,..,..,..,2.915873382,..,..,..,..,..,..,..,..,7768.566898,43.20791738,1116867206,94.14051056,97.48867035,95.82859802,98.74730682,98.75224304,..,98.26461029,97.99456024,98.12188721,3.133100033,..,1.000100017,..,102.4894333,..,102.3749084,..,102.5915375,..,83.65187073,78.31161,84.64225006,80.78035,82.76077271,76.08895,44.1563797,48.63494873,..,3.36454175,4.14978727,3.811076575,..
East Asia & Pacific (IDA & IBRD countries),TEA,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,8371.183242,43.18010919,1119470877,94.35501862,97.57393646,95.97810364,98.77713013,98.78875732,..,98.41290283,98.04628754,98.21929169,3.234369993,..,1.000249982,..,103.5380325,..,103.425148,..,103.6388168,..,85.24577332,..,86.2384491,..,84.3547287,..,46.04684067,50.7723999,..,3.498527968,4.306299637,3.957447708,..
Ecuador,ECU,2017,YR2017,..,..,..,..,2.60669563,43,..,1275,80,3.8,74,..,..,5860,41.23082506,8305502,92.08669281,93.77906036,92.82978821,99.1098175,99.25505066,21.5,106.0290985,104.8280487,105.4158478,4.614260197,..,1.002940059,..,103.5349426,91.64154,104.1626816,..,102.9338303,..,102.1983109,85.3386,103.6464081,86.53268,100.8082809,84.19239,..,..,..,4.93,3.07,3.84,..
Ecuador,ECU,2018,YR2018,..,..,..,..,3.320357225,44,..,1653,80,3.6,..,..,..,6090,40.83003571,8364869,..,..,..,..,..,23.2,104.9208374,103.9667969,104.4336777,4.621459961,..,..,..,103.267952,90.94167,104.1274338,..,102.4450378,..,101.4356537,84.67039,102.8441162,86.0294,100.0829391,83.3652,47.59777069,50.93574905,..,4.4,2.93,3.53,..
Ecuador,ECU,2019,YR2019,..,..,..,..,..,46,..,..,80,3.3,..,..,..,6100,40.98590161,8519410,..,..,..,..,..,25,101.9289627,101.0841522,101.4974976,4.225659847,..,..,..,101.1975479,..,102.2945328,..,100.147377,..,100.5680771,..,101.9179077,..,99.27146149,..,47.94522858,51.68082809,..,4.6,3.26,3.81,..
"Egypt, Arab Rep.",EGY,2017,YR2017,..,..,..,..,0,13,..,0,64,0.43,86,..,..,3030,23.50044317,29628637,65.50569153,76.49521637,71.16825104,89.48338318,88.19255829,32.5,97.62610626,96.7782135,97.18955231,..,..,0.970130026,..,106.1334686,97.02531,106.2798386,..,105.9956131,..,86.71444702,81.65996,85.94882202,81.87378,87.43769073,81.45799,35.16452026,35.77687836,..,23.09,8.25,11.74,..
"Egypt, Arab Rep.",EGY,2018,YR2018,..,..,..,..,0,12,..,0,68,0.43,86,..,..,2790,20.56123536,29275347,..,..,..,..,..,..,101.6332397,99.79187012,100.6852112,..,..,..,..,106.2849274,97.03257,106.4991074,..,106.0832214,..,87.91114044,82.77635,87.30088043,83.12511,88.48719788,82.44713,38.90494919,39.81047821,..,21.44,6.81,9.82,..
"Egypt, Arab Rep.",EGY,2019,YR2019,..,..,..,..,..,12,..,..,69,0.43,..,..,..,2690,20.57403047,29776956,..,..,..,..,..,..,105.4345779,103.831459,104.6092987,..,..,..,..,106.4095612,..,106.8514328,..,105.9935532,..,89.48068237,..,89.03929138,..,89.89710236,..,..,..,..,21.33,6.73,9.73,..
El Salvador,SLV,2017,YR2017,..,..,..,..,0,72,..,0,80,1,90,..,..,3600,41.8715845,2743376,86.67363739,90.63137817,88.48271179,97.79969788,97.98045349,..,90.36914063,90.37148285,90.37033081,3.725229979,..,1.003569961,..,96.1506424,80.23355,94.47219849,80.63027,97.75985718,79.85319,71.49816895,60.18056,71.21833038,60.83482,71.77287292,59.53829,28.58629036,30.15279007,..,4.01,4.66,4.39,..
El Salvador,SLV,2018,YR2018,..,..,..,..,0,70,..,0,80,0.99,91,..,..,3820,41.86202049,2757134,87.23413849,91.1023407,89.00859833,97.72744751,97.97371674,..,85.81394958,87.3719635,86.60769653,3.605750084,..,1.004920006,..,94.82711029,80.99537,93.26776886,81.41932,96.320961,80.58923,71.66178894,61.83092,71.42326355,62.55455,71.89581299,61.12096,29.37192917,31.14780045,..,3.75,4.19,4.01,..
El Salvador,SLV,2019,YR2019,..,..,..,..,..,58,..,..,80,0.93,..,..,..,3990,41.98802551,2790598,87.31858826,91.30619812,89.13791656,97.97557068,98.34638977,..,..,..,..,3.385159969,..,1.007210016,..,90.3126297,..,89.17446136,..,91.40141296,..,68.66744232,..,68.9671936,..,68.3738327,..,..,..,..,3.7,4.15,3.96,..
Equatorial Guinea,GNQ,2017,YR2017,..,..,..,..,285.7232284,181,..,15725,63,19,75,..,..,6510,36.82917557,489286,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.3,8.03,8.13,..
Equatorial Guinea,GNQ,2018,YR2018,..,..,..,..,269.0092791,181,..,8962,56,24,65,..,..,6730,36.78038883,508608,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.18,7.93,8.03,..
Equatorial Guinea,GNQ,2019,YR2019,..,..,..,..,..,181,..,..,63,24,..,..,..,6280,36.7188503,529668,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.12,7.85,7.95,..
Eritrea,ERI,2017,YR2017,..,..,..,..,33.96765326,99,..,54005,61,18,92,..,..,..,..,..,..,..,..,..,..,..,60.4193306,67.80439758,64.18666077,..,..,..,..,68.47451782,51.75237,63.19858932,49.31431,73.53372192,54.09027,47.49213028,40.69051,44.90597916,39.03466,49.99206924,42.29117,..,..,..,6.68,6.35,6.5,..
Eritrea,ERI,2018,YR2018,..,..,..,..,28.87977486,89,..,46440,61,16,93,..,..,..,..,..,68.94618988,84.37323761,76.57051849,93.81867981,93.27239227,..,56.17720032,64.19847107,60.27051163,..,..,0.98822999,..,68.43383026,51.45515,63.07897949,48.97839,73.56524658,53.82856,47.69710922,41.57501,45.39511871,40.25675,49.91706848,42.8463,..,..,..,6.59,6.25,6.41,..
Eritrea,ERI,2019,YR2019,..,..,..,..,..,86,..,..,61,16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.46,6.24,6.34,..
Estonia,EST,2017,YR2017,..,..,..,..,..,15,..,..,87,1.8,80,..,..,18770,48.26518461,703706,..,..,..,..,..,21.9,97.42516327,97.04801941,97.23143768,4.956299782,..,..,..,97.2301712,93.68129,97.25395966,94.22231,97.20776367,93.17159,116.8747482,94.36474,118.2201691,95.49697,115.5946198,93.28745,69.04592133,83.98623657,..,5.3,6.19,5.76,..
Estonia,EST,2018,YR2018,..,..,..,..,..,13,..,..,87,0.98,83,..,..,21300,48.27669263,705794,..,..,..,..,..,21.7,95.47147369,97.84900665,96.69463348,5.238870144,..,..,..,97.66768646,..,97.79840088,..,97.54464722,..,116.651741,..,118.3416367,..,115.0426407,..,70.36543274,85.34838104,..,5.32,5.41,5.37,..
Estonia,EST,2019,YR2019,..,..,..,..,..,13,..,..,87,0.98,..,..,..,23250,48.45964561,703864,..,..,..,..,..,..,96.62647247,98.18968201,97.43179321,..,..,..,..,97.92819214,..,98.31925201,..,97.55989075,..,115.6051178,..,117.7162094,..,113.5998001,..,74.231987,89.60082245,..,4.85,4.08,4.45,..
Eswatini,SWZ,2017,YR2017,..,..,..,..,2.29880678,502,..,724,60,30,86,..,..,3390,48.37545026,360346,..,..,..,..,..,..,97.14264679,94.50386047,95.81926727,6.138090134,..,..,..,115.160141,82.52357,110.3484573,82.37601,119.9172516,82.66946,..,..,..,..,..,..,..,..,..,24.32,20.87,22.54,..
Eswatini,SWZ,2018,YR2018,..,..,..,..,0.842354065,441,..,268,60,34,90,..,..,3620,48.17153839,367358,88.54268646,88.2875824,88.41938019,94.29769135,95.46936798,..,95.57280731,93.40635681,94.48487091,5.679160118,..,1.024799943,..,114.6936188,..,110.0519791,..,119.2794495,..,..,..,..,..,..,..,..,..,..,24.17,20.69,22.37,..
Eswatini,SWZ,2019,YR2019,..,..,..,..,..,363,..,..,69,22,..,..,..,3670,48.01512136,374305,..,..,..,..,..,..,91.19629669,86.01554871,88.59642792,5.645549774,..,..,..,114.4562912,..,109.821312,..,119.0398636,..,..,..,..,..,..,..,..,..,..,23.97,20.65,22.24,..
Ethiopia,ETH,2017,YR2017,..,..,..,..,36.74142904,164,..,1530739,67,25,96,..,..,740,46.37534616,49794755,44.42338181,59.24145889,51.7711792,73.52072144,72.75482178,..,61.65497971,65.68746948,63.68955994,5.64951992,..,0.97894001,..,..,..,..,..,..,..,..,..,..,..,..,..,10.48816967,7.609549999,..,2.8,1.53,2.12,..
Ethiopia,ETH,2018,YR2018,..,..,..,..,31.81495011,151,..,962087,69,22,88,..,..,800,46.47965643,51400750,..,..,..,..,..,..,..,..,..,5.06867981,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.42656994,7.762189865,..,2.72,1.51,2.07,..
Ethiopia,ETH,2019,YR2019,..,..,..,..,..,140,..,..,71,19,..,..,..,850,46.58673609,53021347,..,..,..,..,..,..,64.86579132,70.55845642,67.74021149,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.68,1.48,2.04,..
